trackID trackLength(s) totalDisplacement(um) meanVelocity(um/s) totalDistance(um) meanSpeed(um/s) minSpeed(um/s) maxSpeed(um/s) stdevSpeed(um/s) meanPersistence minPersistence maxPersistence stdevPersistence tumblingPropensityV tumblingPropensityP positionX(px) positionY(px) displacementX(um) displacementY(um)
0 12.3 23.0023 1.8701 47.9573 4.6561 0.6119 11.6205 2.491 0.7689 0.503 0.9913 0.1325 0.9029 0.4217 163.7448 335.7601 -15.5065 -16.9899
1 12.3 13.7573 1.1185 60.105 5.8354 0.4469 20.8232 4.957 0.324 -0.9993 1 0.6282 1 0.7349 999.47 374.1928 13.4328 -2.9706
2 12.3 10.4721 0.8514 42.6969 4.1453 0.4348 10.1882 2.3998 0.3149 -0.9987 0.9992 0.6621 1 0.6024 897.7347 273.6324 6.5505 -8.1705
3 9.1 32.5609 3.5781 58.3149 8.2134 0.7971 21.0814 4.611 -0.01757 -0.998 0.6902 0.4935 0.3944 1 560.4656 727.3583 -11.7189 -30.379
4 5.9 5.1326 0.8699 22.6527 5.8084 0.8311 20.1156 4.918 -0.7864 -0.9978 -0.6036 0.1207 1 1 215.5278 710.2995 -3.1167 -4.078
5 4.7 16.0182 3.4081 16.5927 6.1454 2.7636 12.973 3.5247 -0.001353 -0.3222 0.3052 0.2162 0.7407 1 624.4095 80.3054 -15.9601 1.3626
6 12.3 4.4814 0.3643 47.3238 4.5945 0.436 12.9964 2.8148 -0.2977 -1 0.9997 0.5832 1 0.9157 868.5521 216.4119 -4.436 -0.6363
7 7.9 29.0245 3.674 56.5193 9.5795 0.6677 30.2156 7.1512 0.5981 -0.4272 0.9978 0.4863 0.3559 0.4103 787.3685 587.5966 -10.1131 27.2056
8 12.3 14.2725 1.1604 65.0493 6.3155 0.5968 13.0747 3.3588 0.4282 -0.7696 0.9989 0.5098 1 0.6145 359.3666 406.0884 4.1246 13.6635
9 4.9 25.9331 5.2925 39.7878 13.7199 2.9693 49.2879 12.1786 0.4346 -0.368 0.9751 0.4748 0.2069 0.7778 799.2133 475.8852 -14.731 21.3429
10 9.1 26.4443 2.906 48.7154 6.8613 0.6731 27.768 6.5699 0.08647 -0.9651 1 0.604 0.6056 0.8824 944.0742 662.3036 22.0265 -14.6334
11 12.3 13.0679 1.0624 55.6232 5.4003 0.6131 16.8367 3.6585 0.71 0.05769 1 0.2195 0.9515 0.5542 79.8321 204.7567 12.7224 -2.9852
12 5.1 69.9841 13.7224 52.5736 16.9592 3.3742 32.7131 7.5381 0.9223 0.8728 0.985 0.03669 0 0 654.2056 141.957 -61.3389 33.6945
13 10.7 4.9596 0.4635 61.4863 7.0674 0.6193 40.4544 6.5703 0.1198 -1 0.9986 0.7536 0.6552 0.806 150.2471 361.399 2.4343 -4.321
14 12.3 10.5259 0.8558 39.6992 3.8543 0.708 9.9789 1.8955 0.4412 -0.6687 1 0.4201 1 0.7229 816.0188 672.0312 -9.4924 4.5485
15 12.3 59.9832 4.8767 254.2042 24.68 2.7521 54.5229 11.1281 0.1615 -0.9058 0.9997 0.5997 0 0.7952 556.1307 293.588 -48.4275 35.3943
