trackID trackLength(s) totalDisplacement(um) meanVelocity(um/s) totalDistance(um) meanSpeed(um/s) minSpeed(um/s) maxSpeed(um/s) stdevSpeed(um/s) meanPersistence minPersistence maxPersistence stdevPersistence tumblingPropensityV tumblingPropensityP positionX(px) positionY(px) displacementX(um) displacementY(um)
0 12.3 27.2225 2.2132 48.9302 4.7505 0 11.718 2.6524 0.8003 0.4961 0.9955 0.1274 0.7864 0.3494 169.3211 334.3374 -22.75 -14.95
1 12.3 8.475 0.689 58.3841 5.6684 0 20.8102 4.9507 0.1075 -1 1 0.6896 1 0.8272 1003.2967 372.3699 8.45 -0.65
2 12.3 7.2672 0.5908 41.6604 4.0447 0 9.75 2.4606 0.2083 -1 0.9995 0.7088 1 0.6835 901.7724 272.9309 1.3 -7.15
3 9.1 29.5661 3.249 58.016 8.1713 0 20.8102 4.466 0.1439 -0.9666 0.9998 0.4732 0.3803 0.9412 563.9615 723.0549 -16.25 -24.7
4 5.9 6.5324 1.1072 22.0632 5.6572 0 19.5 4.8844 -0.3831 -0.9998 0.3162 0.4496 0.9744 1 218.1356 707.6356 -6.5 -0.65
5 4.7 18.2116 3.8748 16.2175 6.0065 3.25 13.4001 3.536 0.1704 -0.1184 0.4229 0.1872 0.6667 1 626.1489 80.883 -18.2 0.65
6 12.3 9.7716 0.7944 47.0672 4.5696 0 13.4001 2.885 -0.2679 -1 1 0.6705 1 0.8861 872.6463 216.3862 -9.75 -0.65
7 7.9 33.4608 4.2355 57.5269 9.7503 0 30.6604 7.2165 0.6843 -0.2273 0.9989 0.4108 0.2881 0.3333 790.0949 584.9684 -13.65 30.55
8 12.3 16.4567 1.3379 64.1307 6.2263 0 13.4001 3.4654 0.4749 -1 1 0.595 1 0.4933 364.5447 403.9715 -2.6 16.25
9 4.9 28.3403 5.7837 40.5897 13.9964 3.25 49.5025 12.1781 0.504 -0.2817 0.9837 0.4569 0.1724 0.7778 800.8776 474.7449 -16.9 22.75
10 9.1 20.6471 2.2689 46.7537 6.585 0 26.8002 6.4361 -0.01723 -0.9891 1 0.6245 0.6197 0.9216 946.989 658.544 18.2 -9.75
11 12.3 6.1321 0.4985 53.3644 5.181 0 16.25 3.7284 0.6376 -0.2631 0.9998 0.2678 0.9612 0.6506 85.6098 204.8333 5.2 -3.25
12 5.1 71.8096 14.0803 53.2357 17.1728 3.25 32.6621 7.4933 0.928 0.88 0.987 0.0349 0 0 656.0588 142.3235 -63.7 33.15
13 10.7 4.6872 0.4381 60.4204 6.9449 0 39.6713 6.6099 0.06904 -1 0.999 0.7389 0.7356 0.7761 155.1308 359.9439 -3.9 -2.6
14 12.3 18.5905 1.5114 40.3047 3.9131 0 9.1924 2.0272 0.6815 -0.2941 1 0.2481 1 0.506 820.2236 666.9228 -14.95 11.05
15 12.3 65.2627 5.3059 253.99 24.6592 3.25 53.7971 11.0651 0.1599 -0.9225 0.9997 0.6079 0 0.7952 560.8699 292.7033 -54.6 35.75
16 10.7 26.6738 2.4929 70.4083 8.0929 0 37.0557 6.2253 0.5717 -0.4011 0.9966 0.3289 0.4713 0.7015 105.028 574.5981 -18.2 19.5
17 6.7 42.1298 6.288 39.6211 8.43 0 21.8017 6.0761 0.7742 0.4995 0.9958 0.1645 0.1277 0.4074 469.209 298.4552 26 33.15
18 12.3 14.3884 1.1698 54.8524 5.3255 0 16.5718 3.6893 0.7893 -0.124 1 0.307 1 0.2469 444.4187 239.378 -4.55 -13.65
19 5.3 26.65 5.0283 27.9832 8.4798 3.25 14.5344 3.8688 0.6251 0.3004 0.8533 0.2154 0 0.5385 132.6415 385.8962 0 26.65
20 12.3 13.6655 1.111 48.8378 4.7415 0 13 2.9802 0.5544 -0.8944 1 0.6273 1 0.3614 449.3049 28.3618 -12.35 5.85
21 11.1 15.1605 1.3658 49.7356 5.4654 0 17.5018 4.1202 0.5445 -0.7954 0.9998 0.5135 1 0.4571 966.8018 477.3964 13 -7.8
22 12.3 8.841 0.7188 21.92 2.1282 0 13.4001 2.6504 0.6706 -0.4961 1 0.3761 1 0.4079 385.8008 368.1707 -7.15 5.2
23 6.3 7.4111 1.1764 13.7708 3.2025 0 7.2672 1.8929 0.2072 -0.1414 0.8944 0.3115 1 0.913 508.5794 179.3571 -5.85 -4.55
24 12.3 9.0301 0.7342 36.0399 3.499 0 7.2672 2.6655 0.3057 -0.9487 0.9994 0.6561 1 0.6282 198.6301 231.9756 -4.55 7.8
25 10.7 42.9049 4.0098 49.2767 5.664 0 18.9506 4.1727 0.9538 0.7962 0.9997 0.04425 0.5402 0 469.6075 733.6402 42.9 -0.65
26 9.1 7.3539 0.8081 76.9032 10.8314 0 35.8974 6.71 0.2196 -0.01205 0.397 0.1124 0 1 152.6703 561.6703 5.2 -5.2
27 12.3 27.1604 2.2082 110.5633 10.7343 3.25 23.6604 5.0203 0.04239 -0.6536 0.9994 0.5111 0.2039 0.8554 715.5244 516.6301 -9.75 25.35
28 12.1 20.6573 1.7072 38.3024 3.7923 0 13 2.7477 0.8708 0.1644 0.9999 0.1629 1 0.1481 343.4008 761.9876 -20.15 -4.55
29 5.3 26.5229 5.0043 27.4319 8.3127 3.25 21.8017 4.6359 0.8737 0.7016 0.9591 0.08071 0.4242 0.07692 286.5 247.3962 -25.35 -7.8
30 12.3 7.9076 0.6429 52.648 5.1115 0 13.7886 3.0735 0.3612 -0.1203 0.7071 0.177 1 1 536.5366 299.3252 1.3 7.8
